1|int main( { cout<<"Hi"; }|Missing brace|Invalid main declaration|cout error|Missing semicolon|B
1|int 2x=5;|Invalid variable name|Wrong data type|Assignment error|Missing semicolon|A
1|#include iostream|Missing <>|Wrong header|include error|Missing semicolon|A
1|cin<<a;|Missing semicolon|cin error|a not declared|Wrong operator|D
1|char ch="A";|Missing semicolon|Wrong type|No error|Wrong quotes|D
1|float x=5,5;|Missing semicolon|float error|No error|Wrong decimal|D
1|cout<<Hello;|Missing semicolon|cout error|No error|Missing quotes|D
1|if x>0 cout<<x;|Missing semicolon|if error|No error|Missing parentheses|D
1|int a=;|Missing semicolon|Wrong type|No error|Missing value|D
1|do{cout<<"Hi";}while x<5;|Missing semicolon|do-while error|No error|Missing parentheses|D
1|switch(x){case 1 cout<<"One";}|Missing semicolon|switch error|No error|Missing colon|D
1|return;|Missing semicolon|return error|No error|Missing value|D
1|int arr[5]={1,2,3,4,5,6};|Missing semicolon|Array error|No error|Too many values|D
1|cout<<(a+b;|Missing semicolon|cout error|No error|Missing parenthesis|D
1|if(a>5);{cout<<a;}|Missing brace|if error|No error|Extra semicolon|D
1|string name cin>>name;|string error|cin error|Missing operator|Missing semicolon|C
1|#include<iostream>;|Missing <>|Wrong header|No error|Extra semicolon|D
1|int main() cout<<"Hi";}|Missing semicolon|cout error|No error|Missing brace|D
1|for(int i=0 i<5;i++)|Missing brace|for error|No error|Missing semicolon|D
1|cout>>a;|Missing semicolon|cout error|No error|Wrong operator|D
1|int a="10";|Missing semicolon|int error|No error|Type mismatch|D
1|if(a>5){cout<<a;|Missing semicolon|if error|No error|Missing brace|D
1|cout<<'Hello';|Missing semicolon|cout error|No error|Wrong quotes|D
1|while(a=5){cout<<a;}|Missing semicolon|while error|No error|Assignment in condition|D
1|break; outside loop|Missing semicolon|syntax error|No error|break misuse|D
1|continue; outside loop|Missing semicolon|syntax error|No error|continue misuse|D
1|int a,b,c|Wrong type|Declaration error|No error|Missing semicolon|D
1|float =5.5;|Missing semicolon|float error|No error|Missing variable name|D
